caption_id,caption_text,len,times_used,total_earnings,performance_score,source,created_at,cleanup_reason
20393,"🍒",1,2,70.0,35.85,internal,"2025-12-12 02:43:02",VERY_SHORT_LOW_PERFORMANCE_WITH_EARNINGS
20156,"💕",1,2,82.0,27.07,internal,"2025-12-09 12:51:51",VERY_SHORT_LOW_PERFORMANCE_WITH_EARNINGS
20041,"🎀",1,1,36.0,16.06,internal,"2025-12-09 12:51:04",VERY_SHORT_LOW_PERFORMANCE_WITH_EARNINGS
20200,"💗",1,1,30.0,13.1,internal,"2025-12-11 05:09:06",VERY_SHORT_LOW_PERFORMANCE_WITH_EARNINGS
20347,"🙀",1,0,0.0,50.0,internal,"2025-12-11 05:10:56",EMOJI_DEADWEIGHT
19770,"🖤🩵",2,0,0.0,50.0,internal,"2025-12-09 12:49:36",EMOJI_DEADWEIGHT
19885,"🥵🥵",2,0,0.0,50.0,internal,"2025-12-09 12:50:13",EMOJI_DEADWEIGHT
19977,"🙈💘",2,0,0.0,50.0,internal,"2025-12-09 12:50:40",EMOJI_DEADWEIGHT
20097,"🖤🖤",2,0,0.0,50.0,internal,"2025-12-09 12:51:16",EMOJI_DEADWEIGHT
20186,"💘🍓",2,0,0.0,50.0,internal,"2025-12-10 07:24:05",EMOJI_DEADWEIGHT
20248,">⩊<",3,0,0.0,50.0,internal,"2025-12-11 05:09:43",EMOJI_DEADWEIGHT
19955,"👋🏼👋🏼",4,0,0.0,50.0,internal,"2025-12-09 12:50:39",EMOJI_DEADWEIGHT
19957,"☀️☺️",4,0,0.0,50.0,internal,"2025-12-09 12:50:39",EMOJI_DEADWEIGHT
20491,"(ˇωˇ)",5,0,0.0,50.0,scraped,"2025-12-12 03:36:14",EMOJI_DEADWEIGHT
19947,"Hey 😛",5,0,0.0,50.0,internal,"2025-12-09 12:50:39",EMOJI_DEADWEIGHT
20371,"Hey 👋🏻",6,0,0.0,50.0,internal,"2025-12-11 05:10:57",EMOJI_DEADWEIGHT
19721,"cheers🥂",7,0,0.0,50.0,internal,"2025-12-09 12:44:22",EMOJI_DEADWEIGHT
19918,"Oh hi🙈🌸",7,0,0.0,50.0,internal,"2025-12-09 12:50:25",EMOJI_DEADWEIGHT
19960,"Fuck me?",8,0,0.0,50.0,internal,"2025-12-09 12:50:39",EMOJI_DEADWEIGHT
20089,peekaboo,8,0,0.0,50.0,internal,"2025-12-09 12:51:16",EMOJI_DEADWEIGHT
20263,"Hello 🥰💕",8,0,0.0,50.0,internal,"2025-12-11 05:09:55",EMOJI_DEADWEIGHT
20348,"at work🤪",8,0,0.0,50.0,internal,"2025-12-11 05:10:56",EMOJI_DEADWEIGHT
20469,"pick 1 🙈",8,0,0.0,50.0,internal,"2025-12-12 02:44:54",EMOJI_DEADWEIGHT
19831,"Smack it🙌",9,0,0.0,50.0,internal,"2025-12-09 12:49:49",EMOJI_DEADWEIGHT
20148,"so cute 🥰",9,0,0.0,50.0,internal,"2025-12-09 12:51:40",EMOJI_DEADWEIGHT
20202,":¨ ·.· ¨:",9,0,0.0,50.0,internal,"2025-12-11 05:09:18",EMOJI_DEADWEIGHT
20222,"Hey babes",9,0,0.0,50.0,internal,"2025-12-11 05:09:30",EMOJI_DEADWEIGHT
1875,"Hi baby 👋🏻",10,1,0.0,0.0,internal,"2025-11-30 07:11:27",VERY_SHORT_NO_EARNINGS
3336,"Morning ❄️",10,1,0.0,0.0,internal,"2025-11-30 07:11:27",VERY_SHORT_NO_EARNINGS
